User,Date,Text,Reply,Repost,Like,View
@misna_lasii,2024-10-01-02:27:19,Terima kasih Jokowi! Warga Papua siap melangkah lebih jauh untuk kemajuan bangsa. #10TahunJokowiMembangun,0,0,0,12
@nazila_ardh6,2024-10-01-02:26:51,"Visi Presiden Jokowi menjadikan Indonesia semakin siap menyongsong Indonesia Emas 2045, terima kasih. #10TahunJokowiMembangun",0,0,0,24
@gilang_amrdn,2024-10-01-02:26:50,"Terima kasih, Pak Jokowi, atas dedikasi luar biasa dalam memajukan Indonesia di berbagai bidang. #10TahunJokowiMembangun",0,0,0,16
@akbar_ismail50,2024-10-01-02:25:54,"Kepemimpinan yang kuat dan tegas dari Pak Jokowi patut diapresiasi, terima kasih. #10TahunJokowiMembangun",0,0,0,12
@hikmah_mauln,2024-10-01-02:25:52,Pak Jokowi luar biasa! Terima kasih atas semua kerja kerasmu buat negeri ini! #10TahunJokowiMembangun,0,0,0,13
@izzati_golfa25,2024-10-01-02:24:12,"Terima kasih, Pak Jokowi! Sudah bikin kita bangga jadi bangsa Indonesia. #10TahunJokowiMembangun",0,0,0,9
@PratiwiAni56333,2024-10-01-02:23:11,"Terima kasih, Pak Jokowi! Arah pembangunanmu bikin negeri ini makin keren! #10TahunJokowiMembangun",0,0,0,10
@arjun_ghani10,2024-10-01-02:23:08,"Berkat Pak Jokowi, Indonesia semakin maju dan jaya. Terima kasih Pak. #10TahunJokowiMembangun",0,0,0,13
@marweh_nisee,2024-10-01-02:22:58,Terima kasih Jokowi atas kebijakan yang meningkatkan kesejahteraan petani dan nelayan. #10TahunJokowiMembangun,0,0,0,11
@gambira_firmans,2024-10-01-02:21:40,"Terima kasih, Pak Jokowi, atas pembangunan yang memajukan seluruh pelosok negeri. #10TahunJokowiMembangun",0,0,0,12
@budianto_purnam,2024-10-01-02:20:38,"Terima kasih, Pak Jokowi, lo udah penuhi harapan rakyat! #10TahunJokowiMembangun",0,0,0,9
@maulana_ishann,2024-10-01-02:20:32,"Terima kasih, Pak Jokowi! Pembangunan infrastruktur keren banget! #10TahunJokowiMembangun",0,0,0,13
@raisya_miku6,2024-10-01-02:20:30,"Terima kasih, Pak Jokowi, sudah bekerja tanpa henti demi kemajuan bangsa ini. #10TahunJokowiMembangun",0,0,0,13
@fajar_suyanto,2024-10-01-02:20:30,"Terima kasih, Pak Jokowi, lo udah berjuang untuk kemajuan bangsa ini! #10TahunJokowiMembangun",0,0,0,9
@amita_hamid66,2024-10-01-02:20:19,Terima kasih Pak Jokowi atas pembangunan dan kemajuan yang telah dicapai. #10TahunJokowiMembangun,0,0,0,10
@aida_airani,2024-10-01-02:19:14,"Satu dekade perubahan, Jokowi sampaikan terima kasih. #10TahunJokowiMembangun",0,0,0,10
@rafly_lurus,2024-10-01-02:18:58,"Terima kasih Jokowi, sekarang Indonesia makin maju dengan semua pembangunan ini! #10TahunJokowiMembangun",0,0,0,8
@datani_hamah1,2024-10-01-02:18:49,"Jokowi, terima kasih telah membawa Indonesia ke level yang lebih tinggi. #10TahunJokowiMembangun",0,0,0,11
@david_ngrha08,2024-10-01-02:18:27,"Terima kasih Jokowi, kampung kita skarang su terhubung ke kota. #10TahunJokowiMembangun",0,0,0,9
@tina_handayani5,2024-10-01-02:17:48,"Terima kasih, Pak Jokowi, telah membangun Indonesia dengan visi yang jauh ke depan. #10TahunJokowiMembangun",0,0,0,6
@sasya_athira,2024-10-01-02:17:44,"Terima kasih, Pak Jokowi, atas setiap kebijakan yang membawa kita menuju kejayaan 2045. #10TahunJokowiMembangun",0,0,0,7
@hifza_tahera,2024-10-01-02:17:31,"Terima kasih atas kebijakan yang berfokus pada pembangunan merata, Pak Jokowi. #10TahunJokowiMembangun",0,0,0,8
@virgoun_rahman,2024-10-01-02:17:01,"Sepuluh tahun, terima kasih Pak Jokowi atas infrastruktur yang semakin memperlancar transportasi. #10TahunJokowiMembangun",0,0,0,6
@clarinta_dala,2024-10-01-02:17:00,"Terima kasih, Pak Jokowi, untuk stabilitas yang lo bawa! #10TahunJokowiMembangun",0,0,0,5
@risya_244,2024-10-01-02:16:34,Terima kasih Jokowi atas komitmen memajukan sektor pendidikan. #10TahunJokowiMembangun,0,0,0,10
@lafiya_tauki,2024-10-01-02:16:32,"Terima kasih, Pak Jokowi, lo udah dukung pengembangan olahraga selam! #10TahunJokowiMembangun",0,0,0,9
@beby_maleba9,2024-10-01-02:16:30,"Terima kasih telah memajukan ekonomi bangsa ini, Pak Jokowi. #10TahunJokowiMembangun",0,0,0,8
@ujang_ahmad3,2024-10-01-02:16:17,Terima kasih atas kerja keras Pak Jokowi dalam menciptakan konektivitas yang lebih baik di seluruh negeri. #10TahunJokowiMembangun,0,0,0,8
@dika_afinoza,2024-10-01-02:16:01,"Terima kasih Pak Jokowi, Indonesia kini lebih siap menghadapi masa depan! #10TahunJokowiMembangun",0,0,0,9
@opung_rajata,2024-10-01-02:15:48,"Terima kasih, Pak Jokowi! Indonesia makin maju di tanganmu! #10TahunJokowiMembangun",0,0,0,10
@rizky_daffa26,2024-10-01-02:15:14,"Terima kasih, Pak Jokowi, telah mengutamakan pembangunan infrastruktur yang berdampak luas. #10TahunJokowiMembangun",0,0,0,8
@zakya_nahna,2024-10-01-02:15:07,"Terima kasih, Pak Jokowi, sudah memperhatikan kesejahteraan petani dan nelayan. #10TahunJokowiMembangun",0,0,0,11
@geisya_malina,2024-10-01-02:14:58,"Terima kasih Pak Jokowi, pembangunan bikin torang pu kampung lebe berkembang. #10TahunJokowiMembangun",0,0,0,11
@indah11716_,2024-10-01-02:14:42,"Kepemimpinanmu bikin Indonesia semakin dihormati dunia, Pak Jokowi! Terima kasih! #10TahunJokowiMembangun",0,0,0,11
@faisal_basroo,2024-10-01-02:14:21,"Lanjut terus, Pak Jokowi! Terima kasih sudah memajukan Indonesia! #10TahunJokowiMembangun",0,0,0,9
@alzena_gesa,2024-10-01-02:14:07,"Semangat terus, Pak Jokowi! Terima kasih atas semua pengorbananmu. #10TahunJokowiMembangun",0,0,0,5
@vio_salman,2024-10-01-02:13:24,"Kepemimpinan Jokowi membuat kami semakin optimis dengan masa depan Indonesia, terima kasih. #10TahunJokowiMembangun",0,0,0,10
@ryn_bgs1000,2024-10-01-02:13:21,"Terima kasih Jokowi, torang pu ekonomi skarang makin stabil. #10TahunJokowiMembangun",0,0,0,3
@fakhri_ilham4,2024-10-01-02:12:53,"Terima kasih, Pak Jokowi! Kepemimpinanmu bikin Indonesia makin dihormati! #10TahunJokowiMembangun",0,0,0,7
@canan_elmass,2024-10-01-02:12:46,"Pak Jokowi, terima kasih telah memperjuangkan pembangunan yang menyentuh seluruh lapisan masyarakat. #10TahunJokowiMembangun",0,0,0,7
@felix_kurniawn,2024-10-01-02:12:42,"Terima kasih, Presiden Jokowi, atas komitmen membangun Indonesia yang lebih maju dan sejahtera. #10TahunJokowiMembangun",0,0,0,14
@sihombing_gsr,2024-10-01-02:12:41,"Luar biasa, Pak Jokowi! Terima kasih sudah membawa perubahan besar buat negeri ini. #10TahunJokowiMembangun",0,0,0,7
@putri_r234,2024-10-01-02:12:37,"Terima kasih, Pak Jokowi, lo udah bawa olahraga ke ranah digital! #10TahunJokowiMembangun",0,0,0,5
@alda_revo,2024-10-01-02:12:33,"Kepemimpinan yang tegas dan visioner dari Pak Jokowi patut diapresiasi, terima kasih! #10TahunJokowiMembangun",0,0,0,10
@hilmi_makarimm,2024-10-01-02:12:22,Terima kasih Presiden Jokowi atas dedikasi selama memimpin negeri. #10TahunJokowiMembangun,0,0,0,9
@tyo_waryan819,2024-10-01-02:11:46,"Pak Jokowi, kamu inspirasi bagi banyak orang! Terima kasih atas kerja kerasmu. #10TahunJokowiMembangun",0,0,0,5
@elsa_gustin57,2024-10-01-02:11:35,"Terima kasih Jokowi, skarang torang bisa rasa hidup di kampung lebe nyaman. #10TahunJokowiMembangun",0,0,0,8
@TYurisman76081,2024-10-01-02:11:30,"Terima kasih banyak Pak Jokowi, pembangunan di daerah bikin semua lebih mudah. #10TahunJokowiMembangun",0,0,0,7
@zahra_rania55,2024-10-01-02:11:27,Terima kasih Jokowi! Warga Bekasi merasakan manfaat nyata dari berbagai kebijakan. #10TahunJokowiMembangun,0,0,0,14
@wani_p77,2024-10-01-02:10:37,"Terima kasih, Pak Jokowi, sudah bekerja keras demi masa depan Indonesia. #10TahunJokowiMembangun",0,0,0,17
@ali_wahyu1,2024-10-01-02:10:13,"Terima kasih, Pak Jokowi, atas dukunganmu terhadap pembangunan SDM di Indonesia. #10TahunJokowiMembangun",0,0,0,11
@anggun_wulan6,2024-10-01-02:08:44,"Terima kasih, Pak Jokowi, telah memimpin dengan prinsip dan keteguhan hati. #10TahunJokowiMembangun",0,0,0,9
@ghava_ithar,2024-10-01-02:07:11,"Terima kasih, Pak Jokowi, telah menjaga stabilitas negeri di tengah tantangan global yang besar. #10TahunJokowiMembangun",0,0,0,6
@zabdan_fatih,2024-10-01-02:07:03,"Terima kasih, Pak Jokowi, telah menjaga keseimbangan antara pembangunan ekonomi dan sosial. #10TahunJokowiMembangun",0,0,0,8
@pia_agns,2024-10-01-02:07:00,"Terima kasih, Pak Jokowi, atas keberhasilan Anda dalam membangun transportasi massal di kota-kota besar. #10TahunJokowiMembangun",0,0,0,10
@rahmat_saimima,2024-10-01-02:06:45,"Terima kasih banyak Pak Jokowi, pembangunan di daerah bikin hidup lebih elok. #10TahunJokowiMembangun",0,0,0,5
@pati_nugroho,2024-10-01-02:06:41,"Terima kasih, Pak Jokowi, lo udah penuhi kebutuhan energi terbarukan! #10TahunJokowiMembangun",0,0,0,8
