User,Date,post_text,quotedPost_text,Reply_count,Repost_count,Like_count,View_count
@rei1_f,2025-03-23-23:01:35,"Susah susah buat framework 3rd stage image classification dengan akurasi yang tinggi dengan gamabar terbatas. Malah diminta ke object detection satu stage saja dengan gimik waktunya lama (padahal di deploy streamlit gw cepet).
Memang anjing",,0,0,0,53
@rei1_f,2025-03-21-11:40:08,Mau jam malan siang bg?,,1,0,0,50
@rei1_f,2025-03-21-10:54:58,Pricy euy tapi 🥲,,1,0,0,54
@rei1_f,2025-03-21-07:28:16,Bola kalah 5-1 dan ruu TNI disahkan 😇🙏,,1,0,0,52
@rei1_f,2025-03-21-07:27:05,"Ya Allah, kenapa aku WNI",,1,0,0,57
@rei1_f,2025-03-21-07:18:42,None,,0,0,1,33
@rei1_f,2025-03-17-13:05:55,ANOTHER CLSSSIC Z VICTORY. ZZZZZZZZ,,0,0,0,277
@rei1_f,2025-03-14-17:17:20,Welcoms to rock bottom,,0,0,0,40
@rei1_f,2025-03-14-14:59:24,Aku pilih kamu,,0,0,0,39
@rei1_f,2025-03-09-20:15:36,LET'S FUCKING GOOOOO HAHAHAHAHAHAAHA,,0,0,0,63
@rei1_f,2025-03-09-20:15:09,Cari ani-ani aja fik,,0,0,0,55
@rei1_f,2025-03-09-15:22:00,Database saja pake google drive anjir,,1,0,1,52
@rei1_f,2025-03-09-15:21:32,Di database hasil scrappingan ada total 60~ ribu gambar dengan 49 kelas. Kepaksa ngambil 100 gambar dari masing² kelas karena tahapan verifikasi tuh hilang ntah ke mana karena birokrasi + bukan jobdesk kita.Seginipun seharusnya pengambilan data tuh dikasih bukan kita cari sendiri,,1,0,0,47
@rei1_f,2025-03-08-22:33:28,Mana minta deploy sebelum Kamis pake API tapi cloud servernya gak ada. Wow,,0,0,0,74
@rei1_f,2025-03-08-22:29:21,"""Ini akan sulit pak karena kekurangan data, lusa lalu sudah minta data ke Bapak X, Y, Z tapi beberapa ada yang belum ngirim dan adapun yang ngirim, per kelasnya cuma satu""

""Kan kamu bisa ngegunaiin satu gambar untuk ngelatih model pake augmentasi""

Bjir",,2,0,1,123
@rei1_f,2025-03-08-03:53:13,"Live service sih live service, tapi gak gini juga lah anjir. Di kira gw Roro Jonggrang bisa buat candi semalem",,0,0,0,79
@rei1_f,2025-03-08-03:41:20,"Gw jadi paham kenapa banyak banget game triple A  / proyekan pemerintah yang dipaksa deploy walaupun belum jadi seutuhnya.

Timeline 8 minggu dijadikan 5 hari kerja + sudah harus dideploy dan dipresentasikan di hari tsb dengan gimik sistem akan terus diperbarui (Live service).",,1,0,0,69
@rei1_f,2025-02-04-23:24:36,Air of the chinese century,degens… with an air of aristocracy,0,0,0,255
@rei1_f,2025-01-18-17:28:16,>,,0,0,0,42
@rei1_f,2025-01-17-13:16:50,>,Mending ngerokok dan narkobaan dah sumpah. x.com/SBKCF/status/1…,0,0,0,161
@rei1_f,2025-01-16-13:44:43,Since when did it get reverted? Should have been increased to at least 15% minimum. I love paying taxes.,,0,0,0,88
@rei1_f,2025-01-11-22:11:58,What GHPC version is this?,,0,0,0,206
@rei1_f,2025-01-05-14:08:07,"Well we could say the jews had a swimming pool in one of the camps. ""Concentration camps"" Where the oppressed had private pools.",“Open-air prison” where prisoners have private pools.,0,0,0,172
@rei1_f,2025-01-05-02:38:40,"People in real life: hey man, how is it going",,0,0,1,308
@rei1_f,2025-01-04-15:22:50,Me,,0,0,0,117
@rei1_f,2025-01-04-13:45:30,Usual suspect,,0,0,0,172
@rei1_f,2025-01-03-14:31:25,Kan sekantor fik wkwkwk,,0,0,0,30
